application_id;pd;initinal_payment;delay
98;0.102;0.333;0
99;0.07;0.323;0
100;0.099;0.152;0
101;0.149;0.199;0
102;0.124;0.149;0
103;0.043;0.276;0
104;0.072;0.194;0
105;0.083;0.223;0
106;0.035;0.162;0
107;0.164;0.133;0
108;0.052;0.262;0
109;0.05;0.327;0
110;0.079;0.237;0
111;0.049;0.139;0
112;0.048;0.25;0
113;0.053;0.411;0
114;0.036;0.304;0
115;0.124;0.136;0
116;0.04;0.317;0
117;0.135;0.213;0
118;0.086;0.107;0
119;0.127;0.228;0
120;0.074;0.263;0
121;0.065;0.19;0
122;0.022;0.337;0
123;0.098;0.143;0
124;0.085;0.262;0
125;0.061;0.2;0
126;0.064;0.181;0
127;0.03;0.155;0
128;0.172;0.208;0
129;0.035;0.172;0
130;0.035;0.198;0
131;0.086;0.214;0
132;0.048;0.195;0
133;0.039;0.195;0
134;0.066;0.196;0
135;0.043;0.264;0
136;0.037;0.196;0
137;0.056;0.219;0
138;0.049;0.14;0
139;0.115;0.061;0
140;0.107;0.242;0
141;0.152;0.169;0
142;0.05;0.33;0
143;0.064;0.222;0
144;0.038;0.268;0
145;0.043;0.164;0
146;0.088;0.294;0
147;0.027;0.257;0
148;0.043;0.313;0
149;0.035;0.049;0
150;0.018;0.257;0
151;0.048;0.433;0
152;0.046;0.225;0
153;0.025;0.164;0
154;0.047;0.148;0
155;0.077;0.267;0
156;0.063;0.287;0
157;0.099;0.165;0
158;0.04;0.187;0
159;0.068;0.27;0
160;0.029;0.305;0
161;0.099;0.243;1
162;0.023;0.277;0
163;0.079;0.291;0
164;0.071;0.399;0
165;0.101;0.255;0
166;0.07;0.314;0
167;0.05;0.323;0
168;0.078;0.257;0
169;0.062;0.207;0
170;0.083;0.189;0
171;0.068;0.241;0
172;0.043;0.266;0
173;0.03;0.354;0
174;0.025;0.345;0
175;0.11;0.215;0
176;0.035;0.207;0
177;0.013;0.377;0
178;0.08;0.314;0
179;0.075;0.169;0
180;0.073;0.44;0
181;0.022;0.185;0
182;0.032;0.292;0
183;0.083;0.297;0
184;0.058;0.267;0
185;0.023;0.234;0
186;0.099;0.186;0
187;0.038;0.374;0
188;0.056;0.305;0
189;0.034;0.224;0
190;0.037;0.385;0
191;0.046;0.258;0
192;0.047;0.01;0
193;0.063;0.259;0
194;0.036;0.18;0
195;0.023;0.362;0
196;0.06;0.266;0
197;0.071;0.253;0
198;0.042;0.341;0
199;0.025;0.379;0
200;0.032;0.307;0
201;0.054;0.343;0
202;0.021;0.195;0
203;0.023;0.216;0
204;0.016;0.302;0
205;0.137;0.21;0
206;0.044;0.379;0
207;0.058;0.239;0
208;0.066;0.219;0
209;0.053;0.23;0
210;0.036;0.271;0
211;0.041;0.338;0
212;0.04;0.302;0
213;0.028;0.311;0
214;0.089;0.152;0
215;0.041;0.248;0
216;0.098;0.248;0
217;0.03;0.295;0
218;0.024;0.246;0
219;0.031;0.34;0
220;0.037;0.299;0
221;0.044;0.314;0
222;0.036;0.315;0
223;0.018;0.359;0
224;0.033;0.25;0
225;0.024;0.356;0
226;0.043;0.228;0
227;0.065;0.309;0
228;0.012;0.32;0
229;0.016;0.245;0
230;0.068;0.299;0
231;0.053;0.353;0
232;0.025;0.371;0
233;0.07;0.169;0
234;0.017;0.298;0
235;0.039;0.333;0
236;0.076;0.345;0
237;0.041;0.204;0
238;0.087;0.128;1
239;0.074;0.101;0
240;0.101;0.189;0
241;0.155;0.2;0
242;0.025;0.385;0
243;0.066;0.347;0
244;0.031;0.306;0
245;0.03;0.278;0
246;0.017;0.309;0
247;0.013;0.355;0
248;0.049;0.332;0
249;0.048;0.321;0
250;0.123;0.218;0
251;0.022;0.346;0
252;0.081;0.24;0
253;0.038;0.274;0
254;0.076;0.184;0
255;0.035;0.343;0
256;0.153;0.19;0
257;0.09;0.303;0
258;0.013;0.332;0
259;0.046;0.161;0
260;0.057;0.24;0
261;0.097;0.332;0
262;0.073;0.3;0
263;0.034;0.307;0
264;0.054;0.329;0
265;0.044;0.263;0
266;0.074;0.234;0
267;0.022;0.171;1
268;0.043;0.28;0
269;0.022;0.345;0
270;0.043;0.293;0
271;0.073;0.236;0
272;0.029;0.385;0
273;0.062;0.249;0
274;0.06;0.228;0
275;0.112;0.231;0
276;0.03;0.298;0
277;0.032;0.307;0
278;0.111;0.252;0
279;0.036;0.136;0
280;0.21;0.178;0
281;0.015;0.293;0
282;0.026;0.351;0
283;0.068;0.284;0
284;0.033;0.465;0
285;0.058;0.224;0
286;0.054;0.247;0
287;0.085;0.32;0
288;0.059;0.334;0
289;0.054;0.28;0
290;0.018;0.356;0
291;0.04;0.315;0
292;0.039;0.429;0
293;0.015;0.349;0
294;0.063;0.386;0
295;0.019;0.389;0
296;0.016;0.339;0
297;0.015;0.27;0
298;0.099;0.141;0
299;0.023;0.315;0
300;0.097;0.351;0
301;0.018;0.294;0
302;0.048;0.242;0
303;0.055;0.277;0
304;0.078;0.263;0
305;0.061;0.197;1
306;0.054;0.234;0
307;0.032;0.352;0
308;0.064;0.263;0
309;0.058;0.348;0
310;0.032;0.34;0
311;0.034;0.178;0
312;0.072;0.353;0
313;0.095;0.262;0
314;0.048;0.228;0
315;0.039;0.197;0
316;0.04;0.311;0
317;0.074;0.314;0
318;0.022;0.398;0
319;0.014;0.327;0
320;0.017;0.399;0
321;0.012;0.454;0
322;0.03;0.361;0
323;0.024;0.308;0
324;0.073;0.15;0
325;0.038;0.298;0
326;0.043;0.164;0
327;0.013;0.36;0
328;0.093;0.334;0
329;0.029;0.276;0
330;0.084;0.305;0
331;0.025;0.389;0
332;0.071;0.358;0
333;0.041;0.168;0
334;0.077;0.248;0
335;0.036;0.382;0
336;0.036;0.342;0
337;0.085;0.344;0
338;0.029;0.281;0
339;0.025;0.432;0
340;0.033;0.173;0
341;0.025;0.402;0
342;0.216;0.12;0
343;0.106;0.312;0
344;0.043;0.412;0
345;0.133;0.26;0
346;0.021;0.396;0
347;0.168;0.179;0
348;0.041;0.218;0
349;0.062;0.267;0
350;0.061;0.29;0
351;0.03;0.188;0
352;0.062;0.403;0
353;0.061;0.199;0
354;0.049;0.337;0
355;0.04;0.372;0
356;0.07;0.239;0
357;0.026;0.31;0
358;0.122;0.213;0
359;0.124;0.057;0
360;0.17;0.189;1
361;0.048;0.306;0
362;0.018;0.422;0
363;0.028;0.361;0
364;0.027;0.339;0
365;0.044;0.272;0
366;0.029;0.302;0
367;0.082;0.343;0
368;0.049;0.32;0
369;0.05;0.216;0
370;0.068;0.396;0
371;0.099;0.139;0
372;0.091;0.391;0
373;0.069;0.321;0
374;0.038;0.314;0
375;0.048;0.212;0
376;0.048;0.289;0
377;0.035;0.45;0
378;0.055;0.386;0
379;0.035;0.168;0
380;0.061;0.418;0
381;0.067;0.253;0
382;0.159;0.084;0
383;0.028;0.336;0
384;0.029;0.313;0
385;0.044;0.13;0
386;0.041;0.177;1
387;0.031;0.365;0
388;0.109;0.228;0
389;0.034;0.442;0
390;0.064;0.291;0
391;0.062;0.248;0
392;0.031;0.341;0
393;0.056;0.377;0
394;0.076;0.174;0
395;0.099;0.201;0
396;0.025;0.386;0
397;0.025;0.272;0
398;0.061;0.262;0
399;0.066;0.209;0
400;0.04;0.198;0
401;0.221;0.121;0
402;0.061;0.363;0
403;0.031;0.35;0
404;0.042;0.346;0
405;0.013;0.353;0
406;0.021;0.252;0
407;0.09;0.293;0
408;0.06;0.245;0
409;0.042;0.339;0
410;0.042;0.377;0
411;0.124;0.307;0
412;0.017;0.366;0
413;0.063;0.419;0
414;0.103;0.285;0
415;0.074;0.442;0
416;0.028;0.209;1
417;0.03;0.343;0
418;0.061;0.278;0
419;0.018;0.245;0
420;0.046;0.314;0
421;0.016;0.3;0
422;0.085;0.251;0
423;0.063;0.232;0
424;0.044;0.138;0
425;0.068;0.354;0
426;0.027;0.306;0
427;0.038;0.266;0
428;0.097;0.046;0
429;0.055;0.281;0
430;0.023;0.239;0
431;0.061;0.35;0
432;0.016;0.319;0
433;0.09;0.282;0
434;0.019;0.249;0
435;0.09;0.154;0
436;0.05;0.376;0
437;0.047;0.216;0
438;0.043;0.37;0
439;0.044;0.218;0
440;0.04;0.42;0
441;0.019;0.335;0
442;0.076;0.317;0
443;0.021;0.241;0
444;0.057;0.187;0
445;0.085;0.343;0
446;0.073;0.164;0
447;0.072;0.255;0
448;0.065;0.254;0
449;0.025;0.192;0
450;0.054;0.414;0
451;0.086;0.181;0
452;0.042;0.376;0
453;0.07;0.177;0
454;0.038;0.216;0
455;0.06;0.189;0
456;0.035;0.312;1
457;0.087;0.145;0
458;0.058;0.291;0
459;0.045;0.241;0
460;0.03;0.172;0
461;0.056;0.346;0
462;0.11;0.139;0
463;0.036;0.345;0
464;0.027;0.27;0
465;0.035;0.315;0
466;0.065;0.329;0
467;0.075;0.375;0
468;0.058;0.462;0
469;0.102;0.132;0
470;0.052;0.318;0
471;0.043;0.28;0
472;0.04;0.256;0
473;0.12;0.332;0
474;0.033;0.16;0
475;0.029;0.313;0
476;0.036;0.354;0
477;0.087;0.238;0
478;0.023;0.42;0
479;0.027;0.338;0
480;0.03;0.124;0
481;0.052;0.258;0
482;0.029;0.221;0
483;0.066;0.071;0
484;0.041;0.356;0
485;0.045;0.238;0
486;0.042;0.266;0
487;0.036;0.313;0
488;0.056;0.319;0
489;0.044;0.364;0
490;0.068;0.225;0
491;0.031;0.351;0
492;0.023;0.445;0
493;0.036;0.203;0
494;0.029;0.343;0
495;0.077;0.277;0
496;0.17;0.219;0
497;0.064;0.161;0
498;0.067;0.3;0
499;0.076;0.287;0
500;0.026;0.254;0
501;0.041;0.244;0
502;0.029;0.239;0
503;0.047;0.328;0
504;0.032;0.387;0
505;0.093;0.351;0
506;0.048;0.258;0
507;0.06;0.161;0
508;0.119;0.211;0
509;0.024;0.365;0
510;0.026;0.261;0
511;0.028;0.284;0
512;0.072;0.21;0
513;0.054;0.224;0
514;0.018;0.395;0
515;0.063;0.23;0
516;0.024;0.418;0
517;0.07;0.213;0
518;0.035;0.271;0
519;0.022;0.349;0
520;0.068;0.199;0
521;0.047;0.271;0
522;0.03;0.281;0
523;0.028;0.343;0
524;0.041;0.258;0
525;0.045;0.149;0
526;0.024;0.265;0
527;0.031;0.443;0
528;0.031;0.384;0
529;0.032;0.327;0
530;0.037;0.232;0
531;0.042;0.225;0
532;0.057;0.293;0
533;0.05;0.306;0
534;0.017;0.359;0
535;0.052;0.243;0
536;0.052;0.27;0
537;0.037;0.314;0
538;0.027;0.393;0
539;0.017;0.361;0
540;0.048;0.346;0
541;0.045;0.317;0
542;0.042;0.297;0
543;0.06;0.191;0
544;0.059;0.13;1
545;0.062;0.298;0
546;0.04;0.321;0
547;0.037;0.29;0
548;0.015;0.297;0
549;0.037;0.251;0
550;0.222;0.267;0
551;0.017;0.439;0
552;0.032;0.404;0
553;0.129;0.267;0
554;0.051;0.18;0
555;0.015;0.351;0
556;0.025;0.31;0
557;0.033;0.311;0
558;0.035;0.319;1
559;0.048;0.254;0
560;0.027;0.25;0
561;0.045;0.231;0
562;0.035;0.375;0
563;0.015;0.405;0
564;0.014;0.316;0
565;0.063;0.21;0
566;0.087;0.197;0
567;0.038;0.384;0
568;0.024;0.237;0
569;0.069;0.287;0
570;0.043;0.101;0
571;0.071;0.276;0
572;0.049;0.198;1
573;0.024;0.39;0
574;0.132;0.225;0
575;0.071;0.33;0
576;0.083;0.29;0
577;0.054;0.298;0
578;0.138;0.163;0
579;0.12;0.261;1
580;0.049;0.175;0
581;0.06;0.2;0
582;0.038;0.293;0
583;0.097;0.218;0
584;0.026;0.339;0
585;0.174;0.167;0
586;0.023;0.289;0
587;0.027;0.279;0
588;0.083;0.36;0
589;0.02;0.388;0
590;0.04;0.097;0
591;0.054;0.363;0
592;0.031;0.283;0
593;0.04;0.263;0
594;0.048;0.325;0
595;0.087;0.265;0
596;0.046;0.133;0
597;0.024;0.275;0
598;0.048;0.445;0
599;0.041;0.398;0
600;0.022;0.212;0
601;0.135;0.186;0
602;0.17;0.139;0
603;0.027;0.357;0
604;0.027;0.395;0
605;0.06;0.355;0
606;0.073;0.422;0
607;0.061;0.35;0
608;0.101;0.277;0
609;0.032;0.199;0
610;0.041;0.227;0
611;0.037;0.306;0
612;0.031;0.172;0
613;0.037;0.354;0
614;0.059;0.236;0
615;0.049;0.235;0
616;0.031;0.196;0
617;0.039;0.398;0
618;0.044;0.338;0
619;0.032;0.213;0
620;0.019;0.401;0
621;0.02;0.365;0
622;0.015;0.321;0
623;0.019;0.315;0
624;0.172;0.304;0
625;0.021;0.366;0
626;0.049;0.253;0
627;0.094;0.328;0
628;0.06;0.288;0
629;0.048;0.249;0
630;0.024;0.354;0
631;0.022;0.392;0
632;0.037;0.375;0
633;0.054;0.377;0
634;0.022;0.198;0
635;0.029;0.362;0
636;0.035;0.209;0
637;0.043;0.346;0
638;0.021;0.381;0
639;0.036;0.249;0
640;0.032;0.335;0
641;0.026;0.134;0
642;0.048;0.399;0
643;0.086;0.155;0
644;0.058;0.236;1
645;0.042;0.319;0
646;0.064;0.233;0
647;0.12;0.405;0
648;0.112;0.286;0
649;0.05;0.272;0
650;0.021;0.248;0
651;0.016;0.34;0
652;0.101;0.338;0
653;0.051;0.267;0
654;0.051;0.226;0
655;0.037;0.184;0
656;0.032;0.39;0
657;0.016;0.163;0
658;0.043;0.151;0
659;0.033;0.299;0
660;0.034;0.249;0
661;0.11;0.302;0
662;0.047;0.351;0
663;0.069;0.319;0
664;0.05;0.213;0
665;0.072;0.274;0
666;0.082;0.158;0
667;0.04;0.306;0
668;0.049;0.301;0
669;0.071;0.27;0
670;0.04;0.282;0
671;0.036;0.38;0
672;0.123;0.264;0
673;0.031;0.33;0
674;0.034;0.206;0
675;0.087;0.219;0
676;0.045;0.313;0
677;0.034;0.296;0
678;0.055;0.226;0
679;0.017;0.479;0
680;0.045;0.299;0
681;0.034;0.362;0
682;0.085;0.145;0
683;0.065;0.394;0
684;0.096;0.202;0
685;0.046;0.376;0
686;0.094;0.272;0
687;0.042;0.356;0
688;0.081;0.334;0
689;0.073;0.141;1
690;0.04;0.373;0
691;0.031;0.309;0
692;0.039;0.367;0
693;0.038;0.254;0
694;0.043;0.226;0
695;0.024;0.295;0
696;0.046;0.297;0
697;0.048;0.326;0
698;0.037;0.196;0
699;0.041;0.299;0
700;0.058;0.209;1
701;0.115;0.181;0
702;0.033;0.387;0
703;0.078;0.376;0
704;0.061;0.222;0
705;0.057;0.407;0
706;0.045;0.311;0
707;0.017;0.32;0
708;0.044;0.37;0
709;0.023;0.266;0
710;0.085;0.239;0
711;0.123;0.215;0
712;0.042;0.294;0
713;0.048;0.298;0
714;0.027;0.207;0
715;0.086;0.348;0
716;0.036;0.247;0
717;0.052;0.226;0
718;0.073;0.314;0
719;0.03;0.426;0
720;0.062;0.208;0
721;0.031;0.175;0
722;0.024;0.362;0
723;0.097;0.322;0
724;0.181;0.315;0
725;0.145;0.253;0
726;0.045;0.309;0
727;0.031;0.334;0
728;0.018;0.425;0
729;0.052;0.143;0
730;0.034;0.373;0
731;0.025;0.363;0
732;0.023;0.319;0
733;0.058;0.199;0
734;0.029;0.252;0
735;0.052;0.195;0
736;0.032;0.307;0
737;0.06;0.24;1
738;0.067;0.322;0
739;0.034;0.188;0
740;0.027;0.368;0
741;0.048;0.303;0
742;0.047;0.117;1
743;0.019;0.361;0
744;0.028;0.307;0
745;0.03;0.22;0
746;0.066;0.294;0
747;0.048;0.25;0
748;0.033;0.384;0
749;0.043;0.355;0
750;0.032;0.323;0
751;0.131;0.137;1
752;0.116;0.341;0
753;0.216;0.178;1
754;0.033;0.311;0
755;0.034;0.279;0
756;0.058;0.232;0
757;0.04;0.311;0
758;0.014;0.35;0
759;0.029;0.122;0
760;0.042;0.415;0
761;0.073;0.229;0
762;0.019;0.304;0
763;0.053;0.253;0
764;0.032;0.352;0
765;0.059;0.249;0
766;0.038;0.269;0
767;0.065;0.212;0
768;0.067;0.299;0
769;0.051;0.242;0
770;0.063;0.254;0
771;0.054;0.328;0
772;0.065;0.288;0
773;0.058;0.212;0
774;0.092;0.298;0
775;0.02;0.288;0
776;0.036;0.343;0
777;0.041;0.355;0
778;0;0.35;0
779;0.039;0.321;0
780;0.025;0.41;0
781;0.061;0.32;0
782;0.093;0.399;0
783;0.041;0.377;0
784;0.04;0.438;0
785;0.018;0.353;0
786;0.032;0.255;0
787;0.038;0.323;0
788;0.055;0.319;0
789;0.022;0.359;0
790;0.037;0.232;0
791;0.041;0.383;0
792;0.012;0.331;0
793;0.027;0.315;0
794;0.019;0.31;0
795;0.059;0.221;0
796;0.025;0.227;0
797;0.046;0.294;0
798;0.018;0.261;0
799;0.031;0.306;0
800;0.061;0.248;1
801;0.028;0.363;0
802;0.04;0.187;0
803;0.058;0.423;0
804;0.031;0.268;0
805;0.051;0.201;0
806;0.09;0.269;0
807;0.062;0.388;0
808;0.054;0.264;0
809;0.034;0.328;0
810;0.055;0.169;0
811;0.146;0.164;0
812;0.103;0.185;0
813;0.053;0.153;0
814;0.074;0.316;1
815;0.074;0.418;0
816;0.072;0.38;0
817;0.044;0.328;0
818;0.035;0.326;0
819;0.055;0.327;0
820;0.215;0.17;0
821;0.024;0.364;0
822;0.054;0.251;0
823;0.019;0.392;0
824;0.065;0.193;0
825;0.11;0.323;0
826;0.037;0.293;0
827;0.032;0.388;0
828;0.027;0.243;0
829;0.025;0.364;0
830;0.047;0.299;0
831;0.024;0.364;0
832;0.082;0.328;0
833;0.031;0.404;0
834;0.022;0.364;0
835;0.061;0.256;0
836;0.07;0.231;0
837;0.06;0.164;0
838;0.03;0.339;0
839;0.036;0.234;0
840;0.022;0.279;0
841;0.056;0.187;0
842;0.076;0.13;0
843;0.042;0.297;0
844;0.063;0.414;0
845;0.041;0.246;0
846;0.044;0.219;0
847;0.036;0.403;0
848;0.037;0.249;0
849;0.096;0.263;0
850;0.045;0.294;0
851;0.135;0.234;0
852;0.014;0.318;0
853;0.072;0.318;0
854;0.091;0.339;0
855;0.156;0.356;0
856;0.065;0.279;0
857;0.031;0.23;0
858;0.032;0.35;0
859;0.024;0.323;0
860;0.07;0.152;0
861;0.061;0.18;0
862;0.072;0.202;0
863;0.113;0.135;0
864;0.039;0.286;0
865;0.077;0.165;0
866;0.081;0.183;0
867;0.041;0.245;0
868;0.072;0.249;0
869;0.066;0.198;0
870;0.073;0.38;0
871;0.03;0.356;0
872;0.024;0.449;0
873;0.205;0.145;0
874;0.058;0.297;0
875;0.039;0.283;0
876;0.112;0.287;0
877;0.04;0.244;0
878;0.028;0.322;0
879;0.051;0.186;0
880;0.026;0.23;0
881;0.043;0.351;0
882;0.033;0.3;0
883;0.081;0.201;0
884;0.047;0.265;0
885;0.056;0.3;0
886;0.058;0.169;0
887;0.081;0.35;0
888;0.15;0.349;0
889;0.188;0.228;0
890;0.069;0.31;0
891;0.03;0.368;0
892;0.038;0.335;0
893;0.057;0.159;0
894;0.051;0.346;0
895;0.048;0.403;0
896;0.016;0.342;0
897;0.048;0.294;0
898;0.039;0.293;0
899;0.032;0.354;0
900;0.089;0.299;0
901;0.026;0.29;0
902;0.025;0.333;0
903;0.06;0.173;0
904;0.109;0.308;0
905;0.018;0.279;0
906;0.047;0.307;1
907;0.051;0.179;0
908;0.04;0.347;0
909;0.062;0.356;0
910;0.077;0.286;0
911;0.034;0.271;0
912;0.042;0.192;0
913;0.107;0.204;0
914;0.051;0.276;0
915;0.013;0.409;0
916;0.046;0.265;0
917;0.05;0.449;0
918;0.033;0.363;0
919;0.082;0.2;0
920;0.017;0.403;0
921;0.046;0.32;0
922;0.035;0.289;0
923;0.021;0.264;0
924;0.038;0.409;0
925;0.05;0.349;0
926;0.106;0.269;0
927;0.083;0.205;0
928;0.065;0.256;0
929;0.045;0.268;0
930;0.048;0.321;0
931;0.079;0.254;0
932;0.098;0.255;0
933;0.097;0.3;0
934;0.043;0.188;0
935;0.023;0.226;0
936;0.097;0.25;0
937;0.11;0.104;0
938;0.061;0.215;0
939;0.034;0.313;0
940;0.026;0.27;0
941;0.086;0.285;0
942;0.05;0.272;0
943;0.045;0.323;0
944;0.091;0.222;0
945;0.033;0.303;0
946;0.025;0.371;0
947;0.063;0.24;0
948;0.123;0.291;0
949;0.067;0.279;0
950;0.053;0.361;0
951;0.062;0.232;0
952;0.02;0.33;0
953;0.032;0.213;0
954;0.045;0.28;0
955;0.074;0.203;0
956;0.034;0.232;1
957;0.022;0.378;0
958;0.023;0.348;0
959;0.041;0.389;0
960;0.042;0.139;0
961;0.056;0.378;0
962;0.063;0.235;0
963;0.118;0.217;0
964;0.053;0.251;0
965;0.041;0.253;1
966;0.036;0.163;0
967;0.148;0.306;0
968;0.049;0.231;0
969;0.042;0.231;0
970;0.072;0.337;0
971;0.048;0.343;0
972;0.037;0.305;0
973;0.036;0.303;0
974;0.051;0.193;0
975;0.05;0.215;0
976;0.073;0.222;0
977;0.091;0.326;0
978;0.065;0.113;0
979;0.044;0.343;0
980;0.052;0.292;0
981;0.027;0.24;0
982;0.116;0.196;0
983;0.104;0.34;0
984;0.028;0.377;0
985;0.026;0.339;0
986;0.131;0.27;0
987;0.076;0.334;0
988;0.04;0.194;0
989;0.054;0.163;0
990;0.041;0.255;0
991;0.101;0.163;0
992;0.09;0.322;0
993;0.052;0.359;0
994;0.013;0.211;0
995;0.031;0.301;0
996;0.141;0.175;1
997;0.141;0.14;0
998;0.092;0.303;0
999;0.018;0.366;0
1000;0.02;0.335;0
1001;0.061;0.12;0
1002;0.053;0.168;0
1003;0.058;0.339;0
1004;0.086;0.266;0
1005;0.069;0.215;0
1006;0.02;0.33;0
1007;0.054;0.201;0
1008;0.053;0.202;0
1009;0.043;0.246;0
1010;0.04;0.236;0
1011;0.063;0.345;0
1012;0.022;0.351;0
1013;0.041;0.338;0
1014;0.042;0.315;0
1015;0.154;0.217;0
1016;0.017;0.329;0
1017;0.04;0.26;0
1018;0.027;0.236;0
1019;0.039;0.17;0
1020;0.051;0.333;0
1021;0.037;0.273;0
1022;0.069;0.095;0
1023;0.065;0.362;0
1024;0.042;0.292;0
1025;0.069;0.174;0
1026;0.055;0.207;0
1027;0.038;0.236;0
1028;0.038;0.347;0
1029;0.061;0.188;0
1030;0.025;0.24;0
1031;0.031;0.36;0
1032;0.089;0.144;1
1033;0.037;0.224;0
1034;0.023;0.365;0
1035;0.097;0.221;0
1036;0.034;0.348;0
1037;0.021;0.378;0
1038;0.026;0.339;0
1039;0.022;0.321;0
1040;0.021;0.324;0
1041;0.02;0.307;0
1042;0.015;0.4;0
1043;0.059;0.307;0
1044;0.043;0.21;0
1045;0.033;0.319;0
1046;0.041;0.299;0
1047;0.039;0.262;0
1048;0.071;0.226;0
1049;0.052;0.257;0
1050;0.033;0.285;0
1051;0.047;0.209;0
1052;0.033;0.27;0
1053;0.039;0.39;0
1054;0.022;0.404;0
1055;0.058;0.281;0
1056;0.101;0.285;0
1057;0.057;0.461;0
1058;0.041;0.379;0
1059;0.052;0.108;0
1060;0.057;0.319;0
1061;0.102;0.348;0
1062;0.111;0.206;0
1063;0.029;0.2;0
1064;0.027;0.287;0
1065;0.044;0.296;0
1066;0.087;0.199;0
1067;0.048;0.278;0
1068;0.029;0.258;0
1069;0.043;0.317;0
1070;0.036;0.379;0
1071;0.069;0.199;0
1072;0.047;0.249;0
1073;0.127;0.164;0
1074;0.016;0.358;0
1075;0.036;0.376;0
1076;0.05;0.344;0
1077;0.071;0.294;0
1078;0.046;0.275;0
1079;0.047;0.321;0
1080;0.072;0.289;0
1081;0.116;0.073;0
1082;0.03;0.238;0
1083;0.083;0.313;0
1084;0.043;0.311;0
1085;0.037;0.329;1
1086;0.013;0.329;0
1087;0.079;0.2;0
1088;0.11;0.275;0
1089;0.162;0.332;0
1090;0.057;0.237;0
1091;0.048;0.335;0
1092;0.025;0.23;0
1093;0.062;0.326;1
1094;0.086;0.074;0
1095;0.063;0.327;0
1096;0.098;0.218;0
1097;0.037;0.154;0
1098;0.1;0.237;0
1099;0.034;0.234;0
1100;0.031;0.434;0
1101;0.027;0.349;0
1102;0.065;0.282;0
1103;0.061;0.336;0
1104;0.056;0.244;0
1105;0.034;0.315;0
1106;0.03;0.345;0
1107;0.025;0.332;0
1108;0.028;0.355;0
1109;0.039;0.405;0
1110;0.047;0.24;0
1111;0.015;0.361;0
1112;0.044;0.22;0
1113;0.03;0.336;0
1114;0.044;0.332;0
1115;0.03;0.221;0
1116;0.023;0.309;0
1117;0.024;0.355;0
1118;0.028;0.417;1
1119;0.023;0.298;0
1120;0.049;0.359;0
1121;0.059;0.309;0
1122;0.094;0.283;0
1123;0.064;0.312;0
1124;0.049;0.094;0
1125;0.055;0.261;0
1126;0.148;0.192;0
1127;0.023;0.149;0
1128;0.025;0.261;0
1129;0.057;0.106;0
1130;0.089;0.236;0
1131;0.108;0.142;0
1132;0.04;0.21;0
1133;0.039;0.304;0
1134;0.028;0.254;0
1135;0.031;0.183;0
1136;0.043;0.334;0
1137;0.04;0.154;0
1138;0.031;0.237;0
1139;0.063;0.324;0
1140;0.024;0.171;0
1141;0.095;0.362;0
1142;0.041;0.335;0
1143;0.058;0.243;0
1144;0.044;0.241;0
1145;0.073;0.153;0
1146;0.082;0.245;0
1147;0.048;0.339;0
1148;0.017;0.265;0
1149;0.019;0.365;0
1150;0.061;0.159;0
1151;0.106;0.432;0
